error_code,error_desc,channel,issuer_bank,amount,bank_uptime_pct,attempts_made,label
TOKENIZATION_TIMEOUT,card token vault timeout during authorization,CARD_MANDATE,ICIC,37959.61,98.9,3,TRANSIENT_TECHNICAL
BANK_DEBIT_FAILED_TECHNICAL,Issuer node degradation during 02:00 AM auto-debit window,UPI_AUTOPAY,HDFC,36265.86,99.4,1,TRANSIENT_TECHNICAL
INVALID_VPA_PERMANENT,"VPA does not exist, invalid payee address",UPI_AUTOPAY,SBIN,41108.41,78.2,1,HARD_PERMANENT
INVOICE_OVERDUE_30_DAYS,Net-30 invoice crossed due date without payment reconciliation,B2B_INVOICE,UTIB,17923.7,96.5,2,COMMERCIAL_DISPUTE
PAYMENT_METHOD_UNAVAILABLE,selected UPI method unavailable at checkout,MAGIC_CHECKOUT,ICIC,6454.58,98.9,2,BEHAVIORAL_DROPOFF
TOKENIZATION_TIMEOUT,"tokenization service slow, mandate auth timed out",CARD_MANDATE,KKBK,19393.26,97.8,1,TRANSIENT_TECHNICAL
NPCI_TIMEOUT,Card network switch response timed out,UPI_AUTOPAY,SBIN,44880.19,78.2,0,TRANSIENT_TECHNICAL
STOLEN_CARD,"chori ka card report hua, block hai",CARD_MANDATE,HDFC,34058.8,99.4,3,HARD_PERMANENT
CART_ABANDONED_SHIPPING_FRICTION,User exited after shipping charge calculated,MAGIC_CHECKOUT,SBIN,35684.95,78.2,1,BEHAVIORAL_DROPOFF
CARD_EXPIRED,"card expiry ho gayi, naya card link karo",CARD_MANDATE,UTIB,26895.4,96.5,1,HARD_PERMANENT
STOLEN_CARD,"chori ka card report hua, block hai",CARD_MANDATE,KKBK,38762.79,97.8,0,HARD_PERMANENT
CART_ABANDONED_SHIPPING_FRICTION,shipping fee dekh kar customer ne cart chhod diya,MAGIC_CHECKOUT,ICIC,5196.65,98.9,1,BEHAVIORAL_DROPOFF
FRAUD_DETECTED,"suspicious activity, fraud check fail",CARD_MANDATE,HDFC,42930.91,99.4,2,HARD_PERMANENT
INVALID_VPA_PERMANENT,"VPA does not exist, invalid payee address",UPI_AUTOPAY,KKBK,41085.64,97.8,3,HARD_PERMANENT
INVOICE_APPROVAL_PENDING,Invoice stuck in enterprise procurement approval workflow,B2B_INVOICE,SBIN,16950.71,78.2,0,COMMERCIAL_DISPUTE
TOKENIZATION_TIMEOUT,card token vault timeout during authorization,CARD_MANDATE,KKBK,14721.52,97.8,0,TRANSIENT_TECHNICAL
CART_ABANDONED_SHIPPING_FRICTION,shipping fee dekh kar customer ne cart chhod diya,MAGIC_CHECKOUT,ICIC,10926.7,98.9,0,BEHAVIORAL_DROPOFF
UPI_DAILY_LIMIT_EXCEEDED,"Customer reached daily UPI transaction limit of Rs.1,00,000",UPI_AUTOPAY,HDFC,32989.19,99.4,3,SOFT_FINANCIAL
CARD_EXPIRED,Mandate card token expired; bank declined authorization,CARD_MANDATE,SBIN,29756.5,78.2,1,HARD_PERMANENT
FRAUD_DETECTED,"suspicious activity, fraud check fail",CARD_MANDATE,KKBK,39284.87,97.8,1,HARD_PERMANENT
GATEWAY_ERROR,issuer node degraded during mandate authorization,UPI_AUTOPAY,ICIC,18074.25,98.9,2,TRANSIENT_TECHNICAL
MANDATE_AMOUNT_EXCEEDS_CAP,"autopay cap se zyada amount, bank ne decline kiya",UPI_AUTOPAY,KKBK,20426.03,97.8,0,SOFT_FINANCIAL
INSUFFICIENT_FUNDS,Declined by customer bank due to low balance,UPI_AUTOPAY,ICIC,1141.36,98.9,1,SOFT_FINANCIAL
INSUFFICIENT_FUNDS,Salary credit not yet posted; balance too low for auto-debit,UPI_AUTOPAY,HDFC,3379.56,99.4,2,SOFT_FINANCIAL
BANK_DEBIT_FAILED_TECHNICAL,Issuer node degradation during 02:00 AM auto-debit window,UPI_AUTOPAY,HDFC,40762.72,99.4,3,TRANSIENT_TECHNICAL
INVOICE_OVERDUE_30_DAYS,Net-30 invoice crossed due date without payment reconciliation,B2B_INVOICE,KKBK,10861.85,97.8,2,COMMERCIAL_DISPUTE
PURCHASE_ORDER_MISMATCH,"PO amount mismatch, reconciliation on hold",B2B_INVOICE,KKBK,6126.7,97.8,1,COMMERCIAL_DISPUTE
UPI_DAILY_LIMIT_EXCEEDED,"UPI daily cap khatam, kal retry karo",UPI_AUTOPAY,SBIN,35350.73,78.2,3,SOFT_FINANCIAL
OTP_TIMEOUT,OTP verification timed out during checkout,MAGIC_CHECKOUT,HDFC,4541.6,99.4,1,TRANSIENT_TECHNICAL
MANDATE_AMOUNT_EXCEEDS_CAP,"autopay cap se zyada amount, bank ne decline kiya",UPI_AUTOPAY,UTIB,21122.17,96.5,2,SOFT_FINANCIAL
BANK_DEBIT_FAILED_TECHNICAL,Downstream bank gateway timeout during debit attempt,UPI_AUTOPAY,HDFC,18236.84,99.4,0,TRANSIENT_TECHNICAL
CART_ABANDONED_SHIPPING_FRICTION,User exited after shipping charge calculated,MAGIC_CHECKOUT,SBIN,8720.55,78.2,1,BEHAVIORAL_DROPOFF
CHECKOUT_DROPPED_OFF,user ne checkout beech me chhod diya,MAGIC_CHECKOUT,SBIN,12678.1,78.2,0,BEHAVIORAL_DROPOFF
CARD_EXPIRED,"card expiry ho gayi, naya card link karo",CARD_MANDATE,KKBK,4585.41,97.8,2,HARD_PERMANENT
TOKENIZATION_TIMEOUT,card token vault timeout during authorization,CARD_MANDATE,HDFC,41701.17,99.4,3,TRANSIENT_TECHNICAL
INSUFFICIENT_FUNDS,Salary credit not yet posted; balance too low for auto-debit,UPI_AUTOPAY,UTIB,21956.21,96.5,0,SOFT_FINANCIAL
NPCI_TIMEOUT,UPI switch response timed out after 30 seconds,UPI_AUTOPAY,SBIN,17177.37,78.2,1,TRANSIENT_TECHNICAL
INVALID_VPA_PERMANENT,"galat UPI ID, ye VPA exist nahi karti",UPI_AUTOPAY,ICIC,19150.16,98.9,2,HARD_PERMANENT
TOKENIZATION_TIMEOUT,"tokenization service slow, mandate auth timed out",CARD_MANDATE,SBIN,8706.61,78.2,0,TRANSIENT_TECHNICAL
BANK_DEBIT_FAILED_TECHNICAL,Downstream bank gateway timeout during debit attempt,UPI_AUTOPAY,ICIC,2760.06,98.9,1,TRANSIENT_TECHNICAL
PURCHASE_ORDER_MISMATCH,"PO amount mismatch, reconciliation on hold",B2B_INVOICE,HDFC,43242.86,99.4,0,COMMERCIAL_DISPUTE
FRAUD_DETECTED,High-risk score flagged by issuer fraud detection switch,CARD_MANDATE,KKBK,3243.71,97.8,3,HARD_PERMANENT
INSUFFICIENT_FUNDS,Mandate debit declined due to low card account balance,UPI_AUTOPAY,HDFC,42383.45,99.4,1,SOFT_FINANCIAL
INSUFFICIENT_FUNDS,Declined by customer bank due to low balance,UPI_AUTOPAY,KKBK,3871.94,97.8,2,SOFT_FINANCIAL
UPI_DAILY_LIMIT_EXCEEDED,"limit exceed, transaction declined by bank",UPI_AUTOPAY,KKBK,14372.69,97.8,0,SOFT_FINANCIAL
GATEWAY_ERROR,"downstream gateway error, retry after clearing window",UPI_AUTOPAY,SBIN,12098.8,78.2,0,TRANSIENT_TECHNICAL
INVOICE_APPROVAL_PENDING,procurement team se approval pending hai,B2B_INVOICE,ICIC,41819.95,98.9,0,COMMERCIAL_DISPUTE
ACCOUNT_CLOSED,"account band ho gaya hai, retry bekar hai",UPI_AUTOPAY,KKBK,44930.76,97.8,0,HARD_PERMANENT
CARD_EXPIRED,Mandate card token expired; bank declined authorization,CARD_MANDATE,KKBK,12080.24,97.8,0,HARD_PERMANENT
CARD_EXPIRED,Mandate card token expired; bank declined authorization,CARD_MANDATE,ICIC,12966.72,98.9,1,HARD_PERMANENT
TOKENIZATION_TIMEOUT,"tokenization service slow, mandate auth timed out",CARD_MANDATE,KKBK,44276.61,97.8,3,TRANSIENT_TECHNICAL
STOLEN_CARD,stolen card hotlisted by issuer,CARD_MANDATE,KKBK,13611.47,97.8,2,HARD_PERMANENT
CART_ABANDONED_SHIPPING_FRICTION,User exited after shipping charge calculated,MAGIC_CHECKOUT,ICIC,5370.32,98.9,0,BEHAVIORAL_DROPOFF
TOKENIZATION_TIMEOUT,card token vault timeout during authorization,CARD_MANDATE,ICIC,12821.96,98.9,0,TRANSIENT_TECHNICAL
INVOICE_OVERDUE_30_DAYS,Net-30 invoice crossed due date without payment reconciliation,B2B_INVOICE,ICIC,22841.83,98.9,0,COMMERCIAL_DISPUTE
BANK_DEBIT_FAILED_TECHNICAL,Downstream bank gateway timeout during debit attempt,UPI_AUTOPAY,UTIB,37354.62,96.5,0,TRANSIENT_TECHNICAL
ACCOUNT_CLOSED,"account band ho gaya hai, retry bekar hai",UPI_AUTOPAY,SBIN,28742.32,78.2,0,HARD_PERMANENT
FRAUD_DETECTED,"suspicious activity, fraud check fail",CARD_MANDATE,KKBK,31813.61,97.8,1,HARD_PERMANENT
ACCOUNT_CLOSED,"customer account closed, debit returned",UPI_AUTOPAY,HDFC,42538.23,99.4,2,HARD_PERMANENT
CHECKOUT_DROPPED_OFF,OTP verification timed out during checkout,MAGIC_CHECKOUT,HDFC,37589.69,99.4,1,BEHAVIORAL_DROPOFF
TOKENIZATION_TIMEOUT,card token vault timeout during authorization,CARD_MANDATE,UTIB,5908.69,96.5,0,TRANSIENT_TECHNICAL
MANDATE_AMOUNT_EXCEEDS_CAP,"mandate amount exceeds NPCI cap of Rs.1,00,000",UPI_AUTOPAY,ICIC,9610.64,98.9,0,SOFT_FINANCIAL
CART_ABANDONED_SHIPPING_FRICTION,shipping fee dekh kar customer ne cart chhod diya,MAGIC_CHECKOUT,KKBK,39809.12,97.8,1,BEHAVIORAL_DROPOFF
CHECKOUT_DROPPED_OFF,Customer abandoned session at shipping/payment step,MAGIC_CHECKOUT,SBIN,43934.01,78.2,3,BEHAVIORAL_DROPOFF
FRAUD_DETECTED,"suspicious activity, fraud check fail",CARD_MANDATE,HDFC,8234.54,99.4,0,HARD_PERMANENT
OTP_TIMEOUT,OTP verification timed out during checkout,MAGIC_CHECKOUT,ICIC,7331.22,98.9,2,TRANSIENT_TECHNICAL
CART_ABANDONED_SHIPPING_FRICTION,shipping fee dekh kar customer ne cart chhod diya,MAGIC_CHECKOUT,HDFC,38664.84,99.4,0,BEHAVIORAL_DROPOFF
GATEWAY_ERROR,"payment gateway ne response nahi diya, timeout ho gaya",UPI_AUTOPAY,ICIC,13871.86,98.9,3,TRANSIENT_TECHNICAL
INSUFFICIENT_FUNDS,Salary credit not yet posted; balance too low for auto-debit,UPI_AUTOPAY,HDFC,29769.15,99.4,1,SOFT_FINANCIAL
INVOICE_OVERDUE_30_DAYS,"30 din se payment pending, accounts se approval nahi aaya",B2B_INVOICE,HDFC,43516.6,99.4,0,COMMERCIAL_DISPUTE
MANDATE_AMOUNT_EXCEEDS_CAP,"autopay cap se zyada amount, bank ne decline kiya",UPI_AUTOPAY,KKBK,15034.85,97.8,0,SOFT_FINANCIAL
CART_ABANDONED_SHIPPING_FRICTION,shipping fee dekh kar customer ne cart chhod diya,MAGIC_CHECKOUT,SBIN,26210.0,78.2,0,BEHAVIORAL_DROPOFF
BANK_DEBIT_FAILED_TECHNICAL,Downstream bank gateway timeout during debit attempt,UPI_AUTOPAY,KKBK,19667.89,97.8,2,TRANSIENT_TECHNICAL
INVOICE_OVERDUE_30_DAYS,"30 din se payment pending, accounts se approval nahi aaya",B2B_INVOICE,KKBK,44293.75,97.8,0,COMMERCIAL_DISPUTE
NPCI_TIMEOUT,"NPCI timeout, bank se confirmation nahi aaya",UPI_AUTOPAY,SBIN,11610.82,78.2,2,TRANSIENT_TECHNICAL
OTP_TIMEOUT,OTP verification timed out during checkout,MAGIC_CHECKOUT,KKBK,41665.69,97.8,1,TRANSIENT_TECHNICAL
GATEWAY_ERROR,"downstream gateway error, retry after clearing window",UPI_AUTOPAY,UTIB,3333.9,96.5,2,TRANSIENT_TECHNICAL
INVOICE_OVERDUE_30_DAYS,"30 din se payment pending, accounts se approval nahi aaya",B2B_INVOICE,HDFC,32444.71,99.4,0,COMMERCIAL_DISPUTE
STOLEN_CARD,"chori ka card report hua, block hai",CARD_MANDATE,UTIB,14812.32,96.5,2,HARD_PERMANENT
INVOICE_APPROVAL_PENDING,Invoice stuck in enterprise procurement approval workflow,B2B_INVOICE,SBIN,19035.42,78.2,1,COMMERCIAL_DISPUTE
FRAUD_DETECTED,"suspicious activity, fraud check fail",CARD_MANDATE,UTIB,24747.14,96.5,0,HARD_PERMANENT
INVOICE_APPROVAL_PENDING,procurement team se approval pending hai,B2B_INVOICE,SBIN,19458.42,78.2,1,COMMERCIAL_DISPUTE
INVOICE_OVERDUE_30_DAYS,"30 din se payment pending, accounts se approval nahi aaya",B2B_INVOICE,UTIB,20008.2,96.5,0,COMMERCIAL_DISPUTE
STOLEN_CARD,"chori ka card report hua, block hai",CARD_MANDATE,SBIN,29716.17,78.2,0,HARD_PERMANENT
STOLEN_CARD,"chori ka card report hua, block hai",CARD_MANDATE,HDFC,36865.19,99.4,3,HARD_PERMANENT
INSUFFICIENT_FUNDS,"account me paise nahi hai, balance insufficient",UPI_AUTOPAY,SBIN,36333.82,78.2,0,SOFT_FINANCIAL
ACCOUNT_CLOSED,"customer account closed, debit returned",UPI_AUTOPAY,SBIN,44280.32,78.2,1,HARD_PERMANENT
CARD_EXPIRED,"card expiry ho gayi, naya card link karo",CARD_MANDATE,UTIB,39898.82,96.5,1,HARD_PERMANENT
GATEWAY_ERROR,"payment gateway ne response nahi diya, timeout ho gaya",UPI_AUTOPAY,UTIB,18103.85,96.5,0,TRANSIENT_TECHNICAL
ACCOUNT_CLOSED,"customer account closed, debit returned",UPI_AUTOPAY,UTIB,10003.3,96.5,3,HARD_PERMANENT
STOLEN_CARD,"chori ka card report hua, block hai",CARD_MANDATE,HDFC,25171.34,99.4,3,HARD_PERMANENT
CART_ABANDONED_SHIPPING_FRICTION,shipping fee dekh kar customer ne cart chhod diya,MAGIC_CHECKOUT,SBIN,36103.27,78.2,2,BEHAVIORAL_DROPOFF
STOLEN_CARD,"chori ka card report hua, block hai",CARD_MANDATE,UTIB,27646.44,96.5,2,HARD_PERMANENT
STOLEN_CARD,"chori ka card report hua, block hai",CARD_MANDATE,KKBK,20176.38,97.8,0,HARD_PERMANENT
PURCHASE_ORDER_MISMATCH,purchase order aur invoice me antar hai,B2B_INVOICE,ICIC,33879.35,98.9,3,COMMERCIAL_DISPUTE
INVALID_VPA_PERMANENT,"galat UPI ID, ye VPA exist nahi karti",UPI_AUTOPAY,SBIN,12501.24,78.2,0,HARD_PERMANENT
INVOICE_APPROVAL_PENDING,Invoice stuck in enterprise procurement approval workflow,B2B_INVOICE,ICIC,15245.31,98.9,1,COMMERCIAL_DISPUTE
CARD_EXPIRED,Mandate card token expired; bank declined authorization,CARD_MANDATE,SBIN,10559.75,78.2,2,HARD_PERMANENT
CHECKOUT_DROPPED_OFF,OTP verification timed out during checkout,MAGIC_CHECKOUT,SBIN,3076.52,78.2,1,BEHAVIORAL_DROPOFF
INVOICE_OVERDUE_30_DAYS,"30 din se payment pending, accounts se approval nahi aaya",B2B_INVOICE,UTIB,2988.57,96.5,3,COMMERCIAL_DISPUTE
OTP_TIMEOUT,"customer ne OTP time par enter nahi kiya, session expire",MAGIC_CHECKOUT,KKBK,42583.53,97.8,0,TRANSIENT_TECHNICAL
UPI_DAILY_LIMIT_EXCEEDED,"UPI daily cap khatam, kal retry karo",UPI_AUTOPAY,UTIB,463.15,96.5,0,SOFT_FINANCIAL
INVOICE_APPROVAL_PENDING,procurement team se approval pending hai,B2B_INVOICE,UTIB,24311.82,96.5,2,COMMERCIAL_DISPUTE
TOKENIZATION_TIMEOUT,card token vault timeout during authorization,CARD_MANDATE,UTIB,10029.31,96.5,1,TRANSIENT_TECHNICAL
PURCHASE_ORDER_MISMATCH,"PO amount mismatch, reconciliation on hold",B2B_INVOICE,UTIB,15257.94,96.5,2,COMMERCIAL_DISPUTE
NPCI_TIMEOUT,"NPCI timeout, bank se confirmation nahi aaya",UPI_AUTOPAY,SBIN,37854.49,78.2,0,TRANSIENT_TECHNICAL
TOKENIZATION_TIMEOUT,card token vault timeout during authorization,CARD_MANDATE,UTIB,26716.39,96.5,2,TRANSIENT_TECHNICAL
ACCOUNT_CLOSED,"customer account closed, debit returned",UPI_AUTOPAY,UTIB,6278.47,96.5,1,HARD_PERMANENT
FRAUD_DETECTED,High-risk score flagged by issuer fraud detection switch,CARD_MANDATE,ICIC,17183.23,98.9,0,HARD_PERMANENT
PAYMENT_METHOD_UNAVAILABLE,payment option show nahi ho raha tha,MAGIC_CHECKOUT,ICIC,34302.85,98.9,1,BEHAVIORAL_DROPOFF
INVALID_VPA_PERMANENT,"galat UPI ID, ye VPA exist nahi karti",UPI_AUTOPAY,ICIC,37603.84,98.9,1,HARD_PERMANENT
ACCOUNT_CLOSED,"customer account closed, debit returned",UPI_AUTOPAY,ICIC,10244.38,98.9,0,HARD_PERMANENT
BANK_DEBIT_FAILED_TECHNICAL,Downstream bank gateway timeout during debit attempt,UPI_AUTOPAY,SBIN,9130.56,78.2,0,TRANSIENT_TECHNICAL
CHECKOUT_DROPPED_OFF,Customer abandoned session at shipping/payment step,MAGIC_CHECKOUT,SBIN,21415.01,78.2,0,BEHAVIORAL_DROPOFF
UPI_DAILY_LIMIT_EXCEEDED,"Customer reached daily UPI transaction limit of Rs.1,00,000",UPI_AUTOPAY,UTIB,31535.73,96.5,3,SOFT_FINANCIAL
MANDATE_AMOUNT_EXCEEDS_CAP,"mandate amount exceeds NPCI cap of Rs.1,00,000",UPI_AUTOPAY,KKBK,27404.29,97.8,2,SOFT_FINANCIAL
CART_ABANDONED_SHIPPING_FRICTION,User exited after shipping charge calculated,MAGIC_CHECKOUT,ICIC,5041.93,98.9,0,BEHAVIORAL_DROPOFF
INVOICE_APPROVAL_PENDING,procurement team se approval pending hai,B2B_INVOICE,UTIB,42377.82,96.5,0,COMMERCIAL_DISPUTE
CARD_EXPIRED,Mandate card token expired; bank declined authorization,CARD_MANDATE,HDFC,31433.94,99.4,0,HARD_PERMANENT
CART_ABANDONED_SHIPPING_FRICTION,User exited after shipping charge calculated,MAGIC_CHECKOUT,ICIC,24066.52,98.9,2,BEHAVIORAL_DROPOFF
MANDATE_AMOUNT_EXCEEDS_CAP,"mandate amount exceeds NPCI cap of Rs.1,00,000",UPI_AUTOPAY,KKBK,29209.59,97.8,0,SOFT_FINANCIAL
OTP_TIMEOUT,"customer ne OTP time par enter nahi kiya, session expire",MAGIC_CHECKOUT,HDFC,19621.28,99.4,0,TRANSIENT_TECHNICAL
PAYMENT_METHOD_UNAVAILABLE,selected UPI method unavailable at checkout,MAGIC_CHECKOUT,UTIB,8090.11,96.5,1,BEHAVIORAL_DROPOFF
INVALID_VPA_PERMANENT,"galat UPI ID, ye VPA exist nahi karti",UPI_AUTOPAY,UTIB,19713.17,96.5,2,HARD_PERMANENT
UPI_DAILY_LIMIT_EXCEEDED,"UPI daily cap khatam, kal retry karo",UPI_AUTOPAY,ICIC,38356.6,98.9,3,SOFT_FINANCIAL
CARD_EXPIRED,"card expiry ho gayi, naya card link karo",CARD_MANDATE,UTIB,11124.33,96.5,1,HARD_PERMANENT
UPI_DAILY_LIMIT_EXCEEDED,"limit exceed, transaction declined by bank",UPI_AUTOPAY,UTIB,15269.9,96.5,1,SOFT_FINANCIAL
INVOICE_OVERDUE_30_DAYS,Net-30 invoice crossed due date without payment reconciliation,B2B_INVOICE,UTIB,9702.18,96.5,3,COMMERCIAL_DISPUTE
INVALID_VPA_PERMANENT,"galat UPI ID, ye VPA exist nahi karti",UPI_AUTOPAY,ICIC,39638.22,98.9,2,HARD_PERMANENT
INVALID_VPA_PERMANENT,"VPA does not exist, invalid payee address",UPI_AUTOPAY,KKBK,42673.15,97.8,0,HARD_PERMANENT
INSUFFICIENT_FUNDS,Mandate debit declined due to low card account balance,UPI_AUTOPAY,UTIB,25071.45,96.5,0,SOFT_FINANCIAL
PURCHASE_ORDER_MISMATCH,purchase order aur invoice me antar hai,B2B_INVOICE,UTIB,35723.19,96.5,0,COMMERCIAL_DISPUTE
INVOICE_APPROVAL_PENDING,Invoice stuck in enterprise procurement approval workflow,B2B_INVOICE,UTIB,31191.76,96.5,0,COMMERCIAL_DISPUTE
UPI_DAILY_LIMIT_EXCEEDED,"UPI daily cap khatam, kal retry karo",UPI_AUTOPAY,UTIB,24995.14,96.5,0,SOFT_FINANCIAL
OTP_TIMEOUT,"customer ne OTP time par enter nahi kiya, session expire",MAGIC_CHECKOUT,ICIC,31687.6,98.9,0,TRANSIENT_TECHNICAL
INVOICE_APPROVAL_PENDING,procurement team se approval pending hai,B2B_INVOICE,SBIN,5604.5,78.2,0,COMMERCIAL_DISPUTE
INVOICE_OVERDUE_30_DAYS,Net-30 invoice crossed due date without payment reconciliation,B2B_INVOICE,KKBK,42799.27,97.8,2,COMMERCIAL_DISPUTE
FRAUD_DETECTED,High-risk score flagged by issuer fraud detection switch,CARD_MANDATE,SBIN,33289.23,78.2,0,HARD_PERMANENT
UPI_DAILY_LIMIT_EXCEEDED,"limit exceed, transaction declined by bank",UPI_AUTOPAY,KKBK,12877.62,97.8,0,SOFT_FINANCIAL
GATEWAY_ERROR,"downstream gateway error, retry after clearing window",UPI_AUTOPAY,SBIN,16366.83,78.2,0,TRANSIENT_TECHNICAL
ACCOUNT_CLOSED,"customer account closed, debit returned",UPI_AUTOPAY,ICIC,2238.15,98.9,0,HARD_PERMANENT
TOKENIZATION_TIMEOUT,"tokenization service slow, mandate auth timed out",CARD_MANDATE,SBIN,28776.2,78.2,3,TRANSIENT_TECHNICAL
PURCHASE_ORDER_MISMATCH,"PO amount mismatch, reconciliation on hold",B2B_INVOICE,HDFC,25917.65,99.4,1,COMMERCIAL_DISPUTE
PURCHASE_ORDER_MISMATCH,purchase order aur invoice me antar hai,B2B_INVOICE,ICIC,8458.68,98.9,0,COMMERCIAL_DISPUTE
INVALID_VPA_PERMANENT,"galat UPI ID, ye VPA exist nahi karti",UPI_AUTOPAY,HDFC,37030.6,99.4,1,HARD_PERMANENT
PURCHASE_ORDER_MISMATCH,"PO amount mismatch, reconciliation on hold",B2B_INVOICE,KKBK,28398.8,97.8,0,COMMERCIAL_DISPUTE
CHECKOUT_DROPPED_OFF,Customer abandoned session at shipping/payment step,MAGIC_CHECKOUT,KKBK,42720.78,97.8,0,BEHAVIORAL_DROPOFF
INSUFFICIENT_FUNDS,Declined by customer bank due to low balance,UPI_AUTOPAY,KKBK,34446.83,97.8,1,SOFT_FINANCIAL
INSUFFICIENT_FUNDS,Mandate debit declined due to low card account balance,UPI_AUTOPAY,UTIB,40900.9,96.5,0,SOFT_FINANCIAL
UPI_DAILY_LIMIT_EXCEEDED,"UPI daily cap khatam, kal retry karo",UPI_AUTOPAY,ICIC,25674.17,98.9,0,SOFT_FINANCIAL
CART_ABANDONED_SHIPPING_FRICTION,User exited after shipping charge calculated,MAGIC_CHECKOUT,SBIN,12055.41,78.2,0,BEHAVIORAL_DROPOFF
FRAUD_DETECTED,High-risk score flagged by issuer fraud detection switch,CARD_MANDATE,SBIN,24928.8,78.2,0,HARD_PERMANENT
ACCOUNT_CLOSED,"account band ho gaya hai, retry bekar hai",UPI_AUTOPAY,UTIB,31083.52,96.5,1,HARD_PERMANENT
INVOICE_APPROVAL_PENDING,Invoice stuck in enterprise procurement approval workflow,B2B_INVOICE,SBIN,13106.39,78.2,0,COMMERCIAL_DISPUTE
PAYMENT_METHOD_UNAVAILABLE,selected UPI method unavailable at checkout,MAGIC_CHECKOUT,SBIN,41591.14,78.2,3,BEHAVIORAL_DROPOFF
UPI_DAILY_LIMIT_EXCEEDED,"limit exceed, transaction declined by bank",UPI_AUTOPAY,SBIN,19245.65,78.2,1,SOFT_FINANCIAL
INSUFFICIENT_FUNDS,Salary credit not yet posted; balance too low for auto-debit,UPI_AUTOPAY,ICIC,37232.9,98.9,0,SOFT_FINANCIAL
BANK_DEBIT_FAILED_TECHNICAL,Issuer node degradation during 02:00 AM auto-debit window,UPI_AUTOPAY,ICIC,26857.57,98.9,3,TRANSIENT_TECHNICAL
UPI_DAILY_LIMIT_EXCEEDED,"UPI daily cap khatam, kal retry karo",UPI_AUTOPAY,UTIB,5770.17,96.5,2,SOFT_FINANCIAL
INVOICE_APPROVAL_PENDING,procurement team se approval pending hai,B2B_INVOICE,ICIC,22620.65,98.9,1,COMMERCIAL_DISPUTE
PAYMENT_METHOD_UNAVAILABLE,selected UPI method unavailable at checkout,MAGIC_CHECKOUT,KKBK,1984.8,97.8,1,BEHAVIORAL_DROPOFF
INVOICE_OVERDUE_30_DAYS,"30 din se payment pending, accounts se approval nahi aaya",B2B_INVOICE,HDFC,4290.54,99.4,2,COMMERCIAL_DISPUTE
UPI_DAILY_LIMIT_EXCEEDED,"limit exceed, transaction declined by bank",UPI_AUTOPAY,HDFC,44980.84,99.4,2,SOFT_FINANCIAL
INVALID_VPA_PERMANENT,"VPA does not exist, invalid payee address",UPI_AUTOPAY,SBIN,21277.91,78.2,2,HARD_PERMANENT
PAYMENT_METHOD_UNAVAILABLE,payment option show nahi ho raha tha,MAGIC_CHECKOUT,SBIN,44863.15,78.2,1,BEHAVIORAL_DROPOFF
PURCHASE_ORDER_MISMATCH,"PO amount mismatch, reconciliation on hold",B2B_INVOICE,UTIB,15788.0,96.5,0,COMMERCIAL_DISPUTE
